Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI
A9017,Male,Mela,05yrs,152883,154,20.141,19.134,21.148,69531,103,29.748,28.261,31.236,78534,154,39.175,37.216,41.134,3415,,,,,749,,,,,653,,,,
A9020,Male,Mela,05yrs,150634,91,12.073,11.469,12.676,35435,70,39.374,37.405,41.343,109113,63,11.514,10.938,12.089,3861,,,,,1723,,,,,502,,,,
A9034,Male,Mela,05yrs,151126,302,39.933,37.937,41.93,89232,61,13.711,13.025,14.396,55056,49,17.745,16.858,18.632,4290,,,,,1796,,,,,753,,,,
A9038,Male,Mela,05yrs,154358,309,40.004,38.004,42.005,107600,38,6.985,6.635,7.334,34600,21,11.938,11.341,12.535,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Pancreas,05yrs,23126262,19905,17.214,16.353,18.074,13930420,11529,16.553,15.725,17.38,7523094,5543,14.735,13.998,15.471,1088062,894,16.427,15.605,17.248,427251,301,14.11,13.405,14.816,157435,97,12.35,11.732,12.967
A9010,Both,Pancreas,05yrs,316394,162,10.232,9.72,10.743,207391,156,15.08,14.326,15.834,86956,62,14.235,13.524,14.947,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Pancreas,05yrs,300620,261,17.367,16.499,18.235,210982,139,13.179,12.52,13.838,58714,32,10.79,10.251,11.33,22638,,,,,6648,,,,,1639,,,,
A9017,Both,Pancreas,05yrs,314711,257,16.342,15.525,17.159,138925,114,16.47,15.647,17.294,166179,151,18.212,17.301,19.123,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Pancreas,05yrs,329288,202,12.256,11.643,12.868,73493,62,16.854,16.011,17.697,243898,201,16.501,15.676,17.326,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Pancreas,05yrs,313318,219,13.999,13.299,14.699,182547,103,11.3,10.735,11.865,117246,80,13.565,12.887,14.243,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Pancreas,05yrs,316397,274,17.316,16.451,18.182,217421,152,13.985,13.286,14.684,75005,54,14.334,13.618,15.051,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Pancreas,05yrs,11816700,8821,14.93,14.184,15.677,7072836,4169,11.789,11.2,12.379,3948962,2734,13.848,13.156,14.541,497597,217,8.722,8.286,9.158,217327,161,14.805,14.065,15.545,79978,43,10.739,10.202,11.276
A9010,Female,Pancreas,05yrs,166106,96,11.613,11.032,12.193,109118,69,12.618,11.987,13.249,46287,38,16.355,15.537,17.172,5772,,,,,4077,,,,,853,,,,
A9013,Female,Pancreas,05yrs,150180,115,15.371,14.603,16.14,105236,72,13.616,12.935,14.296,30177,19,12.272,11.658,12.886,10146,,,,,3710,,,,,911,,,,
A9017,Female,Pancreas,05yrs,161828,116,14.379,13.66,15.098,69394,44,12.662,12.029,13.296,87644,63,14.328,13.612,15.044,3056,,,,,1044,,,,,689,,,,
A9020,Female,Pancreas,05yrs,178654,116,13.037,12.385,13.689,38058,20,10.629,10.098,11.161,134785,114,16.899,16.054,17.744,3406,,,,,1737,,,,,668,,,,
A9034,Female,Pancreas,05yrs,162192,73,8.951,8.504,9.399,93315,55,11.765,11.177,12.353,62191,37,11.832,11.24,12.424,3909,,,,,2031,,,,,747,,,,
A9038,Female,Pancreas,05yrs,162039,136,16.767,15.928,17.605,109821,72,13.156,12.498,13.813,40405,31,15.522,14.746,16.298,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Pancreas,05yrs,11309562,9445,16.702,15.867,17.537,6857584,3653,10.655,10.122,11.188,3574132,1946,10.887,10.343,11.432,590465,626,21.22,20.159,22.281,209924,114,10.879,10.335,11.423,77457,79,20.369,19.351,21.388
A9010,Male,Pancreas,05yrs,150288,136,18.073,17.17,18.977,98273,94,19.164,18.206,20.122,40669,23,11.518,10.942,12.094,6696,,,,,4009,,,,,640,,,,
A9013,Male,Pancreas,05yrs,150440,142,18.817,17.876,19.758,105746,100,18.949,18.001,19.896,28537,23,15.935,15.138,16.732,12492,,,,,2938,,,,,728,,,,
A9017,Male,Pancreas,05yrs,152883,117,15.361,14.593,16.129,69531,33,9.61,9.129,10.09,78534,75,18.999,18.049,19.949,3415,,,,,749,,,,,653,,,,
A9020,Male,Pancreas,05yrs,150634,140,18.638,17.706,19.57,35435,36,20.32,19.304,21.336,109113,99,18.063,17.16,18.967,3861,,,,,1723,,,,,502,,,,
A9034,Male,Pancreas,05yrs,151126,118,15.619,14.838,16.4,89232,87,19.389,18.419,20.358,55056,31,11.149,10.592,11.707,4290,,,,,1796,,,,,753,,,,
A9038,Male,Pancreas,05yrs,154358,111,14.378,13.659,15.097,107600,105,19.509,18.534,20.485,34600,22,12.512,11.887,13.138,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Leuks,05yrs,23126262,14058,12.158,11.55,12.766,13930420,8710,12.505,11.88,13.131,7523094,3438,9.14,8.683,9.597,1088062,935,17.195,16.335,18.055,427251,257,12.038,11.436,12.639,157435,113,14.416,13.695,15.137
A9010,Both,Leuks,05yrs,316394,172,10.864,10.321,11.408,207391,167,16.088,15.284,16.893,86956,78,17.936,17.039,18.833,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Leuks,05yrs,300620,134,8.911,8.466,9.357,210982,183,17.372,16.504,18.241,58714,49,16.661,15.828,17.494,22638,16,13.798,13.108,14.488,6648,,,,,1639,,,,
A9017,Both,Leuks,05yrs,314711,161,10.215,9.704,10.725,138925,71,10.18,9.671,10.689,166179,112,13.522,12.846,14.198,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Leuks,05yrs,329288,183,11.127,10.571,11.683,73493,49,13.365,12.697,14.034,243898,189,15.505,14.73,16.28,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Leuks,05yrs,313318,193,12.332,11.716,12.949,182547,149,16.378,15.56,17.197,117246,79,13.547,12.87,14.225,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Leuks,05yrs,316397,262,16.569,15.741,17.398,217421,161,14.809,14.069,15.55,75005,49,12.993,12.343,13.643,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Leuks,05yrs,11816700,6751,11.427,10.855,11.998,7072836,5444,15.393,14.624,16.163,3948962,2983,15.107,14.352,15.863,497597,225,9.024,8.573,9.475,217327,161,14.826,14.085,15.567,79978,40,10.107,9.601,10.612
A9010,Female,Leuks,05yrs,166106,85,10.187,9.677,10.696,109118,70,12.82,12.179,13.461,46287,32,13.834,13.143,14.526,5772,,,,,4077,,,,,853,,,,
A9013,Female,Leuks,05yrs,150180,57,7.591,7.211,7.971,105236,65,12.386,11.767,13.006,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Leuks,05yrs,161828,103,12.698,12.063,13.333,69394,45,12.854,12.211,13.496,87644,34,7.812,7.421,8.202,3056,,,,,1044,,,,,689,,,,
A9020,Female,Leuks,05yrs,178654,71,7.925,7.528,8.321,38058,19,9.835,9.344,10.327,134785,90,13.378,12.709,14.047,3406,,,,,1737,,,,,668,,,,
A9034,Female,Leuks,05yrs,162192,70,8.589,8.16,9.019,93315,39,8.445,8.023,8.867,62191,27,8.583,8.154,9.012,3909,,,,,2031,,,,,747,,,,
A9038,Female,Leuks,05yrs,162039,125,15.461,14.688,16.234,109821,46,8.397,7.977,8.817,40405,19,9.576,9.097,10.055,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Leuks,05yrs,11309562,10831,19.154,18.197,20.112,6857584,3222,9.398,8.928,9.868,3574132,3867,21.636,20.555,22.718,590465,479,16.24,15.428,17.053,209924,131,12.468,11.845,13.091,77457,75,19.272,18.308,20.235
A9010,Male,Leuks,05yrs,150288,68,9.054,8.601,9.507,98273,42,8.64,8.208,9.072,40669,46,22.537,21.41,23.664,6696,,,,,4009,,,,,640,,,,
A9013,Male,Leuks,05yrs,150440,147,19.512,18.537,20.488,105746,60,11.368,10.8,11.937,28537,,,,,12492,,,,,2938,,,,,728,,,,
A9017,Male,Leuks,05yrs,152883,82,10.765,10.227,11.303,69531,90,25.854,24.562,27.147,78534,96,24.562,23.334,25.791,3415,,,,,749,,,,,653,,,,
A9020,Male,Leuks,05yrs,150634,192,25.498,24.223,26.773,35435,26,14.71,13.975,15.446,109113,66,12.113,11.507,12.719,3861,,,,,1723,,,,,502,,,,
A9034,Male,Leuks,05yrs,151126,148,19.521,18.545,20.497,89232,46,10.242,9.73,10.754,55056,55,20.038,19.036,21.04,4290,,,,,1796,,,,,753,,,,
A9038,Male,Leuks,05yrs,154358,146,18.932,17.985,19.879,107600,61,11.335,10.768,11.901,34600,45,25.891,24.596,27.186,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Oral,05yrs,23126262,15996,13.834,13.142,14.526,13930420,9677,13.893,13.198,14.587,7523094,4682,12.447,11.825,13.069,1088062,488,8.968,8.52,9.416,427251,226,10.6,10.07,11.13,157435,122,15.542,14.765,16.319
A9010,Both,Oral,05yrs,316394,243,15.368,14.6,16.137,207391,106,10.211,9.7,10.721,86956,32,7.408,7.038,7.779,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Oral,05yrs,300620,136,9.048,8.596,9.5,210982,123,11.68,11.096,12.265,58714,32,11.059,10.506,11.612,22638,19,16.376,15.558,17.195,6648,,,,,1639,,,,
A9017,Both,Oral,05yrs,314711,180,11.453,10.881,12.026,138925,101,14.604,13.874,15.335,166179,122,14.638,13.906,15.37,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Oral,05yrs,329288,258,15.673,14.889,16.457,73493,52,14.124,13.417,14.83,243898,190,15.556,14.778,16.333,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Oral,05yrs,313318,103,6.551,6.223,6.878,182547,76,8.359,7.941,8.777,117246,72,12.211,11.601,12.822,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Oral,05yrs,316397,225,14.248,13.536,14.96,217421,137,12.645,12.013,13.277,75005,55,14.659,13.926,15.392,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Oral,05yrs,11816700,1257,2.127,2.021,2.234,7072836,2139,6.047,5.745,6.35,3948962,1565,7.925,7.529,8.322,497597,58,2.348,2.231,2.466,217327,66,6.096,5.791,6.401,79978,35,8.87,8.426,9.313
A9010,Female,Oral,05yrs,166106,22,2.646,2.514,2.779,109118,49,9.04,8.588,9.492,46287,,,,,5772,,,,,4077,,,,,853,,,,
A9013,Female,Oral,05yrs,150180,25,3.279,3.115,3.443,105236,37,6.944,6.597,7.291,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Oral,05yrs,161828,68,8.388,7.968,8.807,69394,26,7.509,7.133,7.884,87644,,,,,3056,,,,,1044,,,,,689,,,,
A9020,Female,Oral,05yrs,178654,53,5.922,5.626,6.218,38058,,,,,134785,43,6.343,6.026,6.66,3406,,,,,1737,,,,,668,,,,
A9034,Female,Oral,05yrs,162192,72,8.925,8.479,9.371,93315,,,,,62191,22,6.919,6.573,7.265,3909,,,,,2031,,,,,747,,,,
A9038,Female,Oral,05yrs,162039,33,4.049,3.846,4.251,109821,45,8.2,7.79,8.61,40405,,,,,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Oral,05yrs,11309562,8965,15.853,15.061,16.646,6857584,6234,18.183,17.273,19.092,3574132,2092,11.708,11.122,12.293,590465,403,13.644,12.962,14.327,209924,185,17.633,16.752,18.515,77457,43,11.139,10.582,11.696
A9010,Male,Oral,05yrs,150288,150,19.951,18.954,20.949,98273,69,13.946,13.249,14.644,40669,34,16.777,15.938,17.615,6696,,,,,4009,,,,,640,,,,
A9013,Male,Oral,05yrs,150440,118,15.751,14.963,16.538,105746,57,10.825,10.284,11.366,28537,25,17.674,16.791,18.558,12492,,,,,2938,,,,,728,,,,
A9017,Male,Oral,05yrs,152883,182,23.824,22.633,25.015,69531,71,20.498,19.473,21.523,78534,67,16.937,16.09,17.784,3415,,,,,749,,,,,653,,,,
A9020,Male,Oral,05yrs,150634,115,15.268,14.505,16.032,35435,34,18.918,17.972,19.864,109113,66,12.021,11.42,12.622,3861,,,,,1723,,,,,502,,,,
A9034,Male,Oral,05yrs,151126,179,23.723,22.537,24.909,89232,107,24.066,22.863,25.269,55056,59,21.47,20.396,22.543,4290,,,,,1796,,,,,753,,,,
A9038,Male,Oral,05yrs,154358,218,28.265,26.852,29.678,107600,128,23.712,22.527,24.898,34600,43,24.834,23.593,26.076,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Thyroid,05yrs,23126262,10446,9.034,8.582,9.485,13930420,7185,10.316,9.8,10.832,7523094,5814,15.456,14.684,16.229,1088062,668,12.27,11.657,12.884,427251,303,14.17,13.461,14.878,157435,90,11.396,10.826,11.965
A9010,Both,Thyroid,05yrs,316394,278,17.558,16.68,18.436,207391,162,15.611,14.831,16.392,86956,40,9.103,8.648,9.558,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Thyroid,05yrs,300620,133,8.856,8.414,9.299,210982,157,14.9,14.155,15.645,58714,23,7.811,7.421,8.202,22638,,,,,6648,,,,,1639,,,,
A9017,Both,Thyroid,05yrs,314711,187,11.892,11.297,12.486,138925,72,10.355,9.837,10.873,166179,126,15.131,14.374,15.887,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Thyroid,05yrs,329288,138,8.366,7.948,8.785,73493,62,16.914,16.068,17.76,243898,177,14.539,13.812,15.266,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Thyroid,05yrs,313318,120,7.634,7.252,8.016,182547,107,11.684,11.1,12.268,117246,71,12.104,11.498,12.709,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Thyroid,05yrs,316397,271,17.153,16.296,18.011,217421,114,10.448,9.926,10.971,75005,59,15.858,15.065,16.651,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Thyroid,05yrs,11816700,10482,17.741,16.853,18.628,7072836,6329,17.898,17.003,18.793,3948962,4088,20.704,19.668,21.739,497597,385,15.479,14.705,16.253,217327,127,11.642,11.06,12.224,79978,59,14.821,14.08,15.562
A9010,Female,Thyroid,05yrs,166106,143,17.209,16.348,18.069,109118,66,12.109,11.504,12.715,46287,51,22.201,21.091,23.311,5772,,,,,4077,,,,,853,,,,
A9013,Female,Thyroid,05yrs,150180,188,25.009,23.758,26.259,105236,56,10.715,10.18,11.251,30177,22,14.488,13.763,15.212,10146,,,,,3710,,,,,911,,,,
A9017,Female,Thyroid,05yrs,161828,113,14.018,13.317,14.719,69394,69,20.001,19.001,21.001,87644,75,17.199,16.339,18.059,3056,,,,,1044,,,,,689,,,,
A9020,Female,Thyroid,05yrs,178654,171,19.163,18.205,20.121,38058,41,21.503,20.428,22.578,134785,76,11.248,10.686,11.811,3406,,,,,1737,,,,,668,,,,
A9034,Female,Thyroid,05yrs,162192,125,15.409,14.639,16.18,93315,50,10.749,10.212,11.287,62191,69,22.202,21.092,23.312,3909,,,,,2031,,,,,747,,,,
A9038,Female,Thyroid,05yrs,162039,81,10.03,9.528,10.531,109821,131,23.83,22.639,25.022,40405,25,12.613,11.982,13.243,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Thyroid,05yrs,11309562,4213,7.451,7.078,7.824,6857584,3124,9.112,8.656,9.567,3574132,1520,8.507,8.082,8.933,590465,146,4.952,4.704,5.199,209924,78,7.464,7.091,7.837,77457,,,,
A9010,Male,Thyroid,05yrs,150288,56,7.442,7.07,7.814,98273,34,6.936,6.589,7.283,40669,19,9.302,8.837,9.767,6696,,,,,4009,,,,,640,,,,
A9013,Male,Thyroid,05yrs,150440,41,5.478,5.204,5.752,105746,28,5.36,5.092,5.628,28537,,,,,12492,,,,,2938,,,,,728,,,,
A9017,Male,Thyroid,05yrs,152883,70,9.102,8.646,9.557,69531,29,8.3,7.885,8.715,78534,31,7.778,7.389,8.167,3415,,,,,749,,,,,653,,,,
A9020,Male,Thyroid,05yrs,150634,69,9.111,8.656,9.567,35435,,,,,109113,18,3.335,3.168,3.502,3861,,,,,1723,,,,,502,,,,
A9034,Male,Thyroid,05yrs,151126,29,3.8,3.61,3.99,89232,39,8.685,8.251,9.12,55056,27,9.824,9.333,10.315,4290,,,,,1796,,,,,753,,,,
A9038,Male,Thyroid,05yrs,154358,52,6.71,6.374,7.045,107600,45,8.303,7.888,8.718,34600,,,,,8952,,,,,2463,,,,,742,,,,
Statewide,Female,Uterine,05yrs,11816700,12631,21.379,20.31,22.448,7072836,5561,15.726,14.94,16.512,3948962,4897,24.803,23.563,26.043,497597,420,16.889,16.044,17.733,217327,161,14.848,14.106,15.59,79978,56,14.013,13.313,14.714
A9010,Female,Uterine,05yrs,166106,171,20.591,19.562,21.621,109118,95,17.421,16.55,18.292,46287,35,15.33,14.564,16.097,5772,,,,,4077,,,,,853,,,,
A9013,Female,Uterine,05yrs,150180,115,15.369,14.6,16.137,105236,65,12.323,11.707,12.939,30177,28,18.448,17.525,19.37,10146,,,,,3710,,,,,911,,,,
A9017,Female,Uterine,05yrs,161828,161,19.943,18.946,20.941,69394,58,16.834,15.993,17.676,87644,79,18.06,17.157,18.963,3056,,,,,1044,,,,,689,,,,
A9020,Female,Uterine,05yrs,178654,129,14.495,13.77,15.22,38058,45,23.703,22.518,24.888,134785,163,24.187,22.978,25.397,3406,,,,,1737,,,,,668,,,,
A9034,Female,Uterine,05yrs,162192,139,17.103,16.248,17.959,93315,86,18.486,17.562,19.411,62191,56,18.102,17.197,19.007,3909,,,,,2031,,,,,747,,,,
A9038,Female,Uterine,05yrs,162039,158,19.456,18.483,20.429,109821,86,15.579,14.8,16.358,40405,42,20.782,19.743,21.822,7614,,,,,3461,,,,,738,,,,
Statewide,Both,Liver,05yrs,23126262,16020,13.854,13.162,14.547,13930420,9949,14.284,13.57,14.998,7523094,4328,11.506,10.931,12.082,1088062,548,10.075,9.571,10.578,427251,262,12.284,11.67,12.899,157435,72,9.165,8.706,9.623
A9010,Both,Liver,05yrs,316394,94,5.962,5.664,6.26,207391,120,11.571,10.992,12.149,86956,28,6.45,6.127,6.772,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Liver,05yrs,300620,126,8.398,7.978,8.817,210982,85,8.057,7.655,8.46,58714,46,15.581,14.802,16.36,22638,,,,,6648,,,,,1639,,,,
A9017,Both,Liver,05yrs,314711,131,8.327,7.911,8.744,138925,63,9.127,8.671,9.584,166179,46,5.569,5.29,5.847,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Liver,05yrs,329288,138,8.411,7.991,8.832,73493,42,11.415,10.844,11.986,243898,184,15.123,14.367,15.879,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Liver,05yrs,313318,232,14.841,14.099,15.583,182547,47,5.117,4.861,5.372,117246,72,12.216,11.606,12.827,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Liver,05yrs,316397,155,9.783,9.294,10.272,217421,156,14.376,13.657,15.095,75005,42,11.327,10.761,11.894,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Liver,05yrs,11816700,4013,6.793,6.453,7.132,7072836,2550,7.21,6.85,7.571,3948962,328,1.66,1.577,1.743,497597,137,5.493,5.218,5.767,217327,69,6.34,6.023,6.657,79978,,,,
A9010,Female,Liver,05yrs,166106,53,6.347,6.03,6.665,109118,18,3.36,3.192,3.528,46287,,,,,5772,,,,,4077,,,,,853,,,,
A9013,Female,Liver,05yrs,150180,,,,,105236,22,4.254,4.041,4.467,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Liver,05yrs,161828,53,6.598,6.268,6.928,69394,,,,,87644,20,4.47,4.246,4.693,3056,,,,,1044,,,,,689,,,,
A9020,Female,Liver,05yrs,178654,53,5.925,5.629,6.221,38058,,,,,134785,28,4.167,3.958,4.375,3406,,,,,1737,,,,,668,,,,
A9034,Female,Liver,05yrs,162192,61,7.479,7.105,7.852,93315,17,3.717,3.531,3.903,62191,21,6.861,6.518,7.204,3909,,,,,2031,,,,,747,,,,
A9038,Female,Liver,05yrs,162039,49,6.059,5.756,6.362,109821,21,3.772,3.583,3.96,40405,,,,,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Liver,05yrs,11309562,5290,9.355,8.887,9.823,6857584,3062,8.93,8.483,9.376,3574132,2266,12.683,12.048,13.317,590465,623,21.107,20.051,22.162,209924,140,13.345,12.677,14.012,77457,54,13.966,13.267,14.664
A9010,Male,Liver,05yrs,150288,162,21.521,20.445,22.597,98273,44,8.981,8.532,9.43,40669,38,18.571,17.643,19.5,6696,,,,,4009,,,,,640,,,,
A9013,Male,Liver,05yrs,150440,110,14.568,13.839,15.296,105746,58,10.997,10.447,11.547,28537,24,16.856,16.013,17.699,12492,,,,,2938,,,,,728,,,,
A9017,Male,Liver,05yrs,152883,170,22.271,21.157,23.384,69531,68,19.474,18.5,20.448,78534,52,13.172,12.514,13.831,3415,,,,,749,,,,,653,,,,
A9020,Male,Liver,05yrs,150634,118,15.64,14.858,16.422,35435,16,9.058,8.605,9.511,109113,76,13.914,13.219,14.61,3861,,,,,1723,,,,,502,,,,
A9034,Male,Liver,05yrs,151126,127,16.868,16.024,17.711,89232,64,14.276,13.562,14.99,55056,32,11.553,10.976,12.131,4290,,,,,1796,,,,,753,,,,
A9038,Male,Liver,05yrs,154358,111,14.319,13.603,15.035,107600,123,22.931,21.785,24.078,34600,34,19.901,18.906,20.896,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Stomach,05yrs,23126262,5282,4.568,4.34,4.797,13930420,5536,7.949,7.551,8.346,7523094,3450,9.172,8.713,9.63,1088062,448,8.23,7.819,8.642,427251,203,9.48,9.006,9.954,157435,77,9.75,9.263,10.238
A9010,Both,Stomach,05yrs,316394,115,7.293,6.928,7.658,207391,66,6.378,6.059,6.697,86956,44,10.213,9.703,10.724,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Stomach,05yrs,300620,168,11.172,10.613,11.731,210982,106,10.006,9.506,10.506,58714,28,9.462,8.989,9.935,22638,,,,,6648,,,,,1639,,,,
A9017,Both,Stomach,05yrs,314711,110,6.974,6.625,7.323,138925,42,6.009,5.708,6.309,166179,58,6.992,6.642,7.341,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Stomach,05yrs,329288,162,9.862,9.369,10.356,73493,26,7.081,6.727,7.435,243898,69,5.618,5.337,5.899,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Stomach,05yrs,313318,124,7.894,7.499,8.288,182547,72,7.92,7.524,8.316,117246,65,11.153,10.595,11.71,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Stomach,05yrs,316397,66,4.162,3.954,4.37,217421,71,6.489,6.165,6.814,75005,19,5.018,4.767,5.269,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Stomach,05yrs,11816700,3209,5.431,5.159,5.702,7072836,2589,7.322,6.956,7.688,3948962,1282,6.492,6.168,6.817,497597,240,9.648,9.165,10.13,217327,94,8.612,8.181,9.042,79978,36,9.044,8.592,9.496
A9010,Female,Stomach,05yrs,166106,77,9.284,8.82,9.748,109118,46,8.347,7.93,8.765,46287,,,,,5772,,,,,4077,,,,,853,,,,
A9013,Female,Stomach,05yrs,150180,68,9.074,8.62,9.528,105236,19,3.54,3.363,3.717,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Stomach,05yrs,161828,65,8.028,7.627,8.43,69394,34,9.825,9.334,10.316,87644,25,5.639,5.357,5.921,3056,,,,,1044,,,,,689,,,,
A9020,Female,Stomach,05yrs,178654,62,6.97,6.621,7.318,38058,,,,,134785,35,5.196,4.936,5.456,3406,,,,,1737,,,,,668,,,,
A9034,Female,Stomach,05yrs,162192,54,6.624,6.293,6.955,93315,31,6.583,6.254,6.912,62191,19,6.053,5.75,6.355,3909,,,,,2031,,,,,747,,,,
A9038,Female,Stomach,05yrs,162039,67,8.251,7.838,8.663,109821,52,9.394,8.925,9.864,40405,19,9.562,9.084,10.04,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Stomach,05yrs,11309562,4720,8.347,7.929,8.764,6857584,2638,7.693,7.309,8.078,3574132,2717,15.204,14.443,15.964,590465,443,14.995,14.245,15.745,209924,104,9.891,9.396,10.386,77457,52,13.492,12.817,14.167
A9010,Male,Stomach,05yrs,150288,111,14.815,14.074,15.556,98273,39,7.996,7.597,8.396,40669,,,,,6696,,,,,4009,,,,,640,,,,
A9013,Male,Stomach,05yrs,150440,77,10.278,9.764,10.792,105746,42,8.004,7.603,8.404,28537,,,,,12492,,,,,2938,,,,,728,,,,
A9017,Male,Stomach,05yrs,152883,54,7.098,6.743,7.453,69531,35,10.052,9.549,10.555,78534,25,6.317,6.001,6.633,3415,,,,,749,,,,,653,,,,
A9020,Male,Stomach,05yrs,150634,77,10.163,9.655,10.671,35435,,,,,109113,27,4.992,4.742,5.241,3861,,,,,1723,,,,,502,,,,
A9034,Male,Stomach,05yrs,151126,68,8.977,8.528,9.425,89232,43,9.734,9.247,10.22,55056,26,9.419,8.948,9.89,4290,,,,,1796,,,,,753,,,,
A9038,Male,Stomach,05yrs,154358,90,11.68,11.096,12.264,107600,69,12.897,12.252,13.542,34600,,,,,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Myeloma,05yrs,23126262,11499,9.945,9.448,10.442,13930420,2791,4.007,3.807,4.208,7523094,2198,5.845,5.552,6.137,1088062,536,9.854,9.361,10.347,427251,92,4.318,4.102,4.534,157435,47,5.938,5.641,6.235
A9010,Both,Myeloma,05yrs,316394,156,9.853,9.36,10.345,207391,69,6.661,6.328,6.994,86956,32,7.399,7.029,7.769,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Myeloma,05yrs,300620,128,8.52,8.094,8.946,210982,91,8.665,8.231,9.098,58714,43,14.523,13.797,15.249,22638,,,,,6648,,,,,1639,,,,
A9017,Both,Myeloma,05yrs,314711,123,7.818,7.427,8.209,138925,62,8.922,8.476,9.368,166179,105,12.695,12.06,13.33,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Myeloma,05yrs,329288,147,8.898,8.453,9.343,73493,48,13.048,12.395,13.7,243898,162,13.253,12.591,13.916,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Myeloma,05yrs,313318,79,5.07,4.817,5.324,182547,122,13.347,12.68,14.014,117246,48,8.176,7.767,8.585,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Myeloma,05yrs,316397,98,6.195,5.886,6.505,217421,132,12.103,11.498,12.708,75005,50,13.297,12.632,13.961,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Myeloma,05yrs,11816700,4781,8.091,7.687,8.496,7072836,3712,10.497,9.972,11.022,3948962,2154,10.908,10.363,11.454,497597,138,5.538,5.261,5.814,217327,55,5.058,4.805,5.311,79978,36,8.936,8.489,9.383
A9010,Female,Myeloma,05yrs,166106,84,10.096,9.591,10.6,109118,43,7.923,7.527,8.319,46287,,,,,5772,,,,,4077,,,,,853,,,,
A9013,Female,Myeloma,05yrs,150180,19,2.515,2.39,2.641,105236,25,4.731,4.495,4.968,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Myeloma,05yrs,161828,57,7.037,6.686,7.389,69394,37,10.784,10.245,11.323,87644,33,7.59,7.211,7.97,3056,,,,,1044,,,,,689,,,,
A9020,Female,Myeloma,05yrs,178654,21,2.392,2.272,2.511,38058,25,12.979,12.33,13.628,134785,51,7.618,7.237,7.998,3406,,,,,1737,,,,,668,,,,
A9034,Female,Myeloma,05yrs,162192,63,7.828,7.437,8.22,93315,19,3.974,3.775,4.173,62191,,,,,3909,,,,,2031,,,,,747,,,,
